n,u_n,v_n,w_n,abs_s_n,is_prime
495,4,2.303834612632515e-9,0,4,0
496,5,4.084070449666731e-9,0,5,0
497,2,8.168140899333462e-9,0,2,0
498,3,9.21533845053006e-9,0,3,0
499,0.9999999999999987,5.22551578047102e-8,0,1,1
500,5,1.9896753472735356e-9,0,5,0
501,2,1.7802358370342162e-8,0,2,0
502,1.9999999999999996,2.649409804527392e-8,0,1.9999999999999996,0
503,0.9999999999999987,5.267403682518884e-8,0,1,1
504,6,1.9896753472735356e-9,0,6,0
505,2,1.1100294042683937e-8,0,2,0
506,3,3.769911184307752e-9,0,3,0
507,3,3.0368728984701338e-9,0,3,0
508,3,1.371828792067543e-8,0,3,0
509,0.9999999999999986,5.33023553559068e-8,0,0.9999999999999999,1
510,4,2.827433388230814e-9,0,4,0
511,2,8.377580409572782e-9,0,2,0
512,9,1.8849555921538762e-9,0,9,0
513,4,2.9321531433504735e-9,0,4,0
514,1.9999999999999996,2.7122416575991877e-8,0,1.9999999999999996,0
